temporada,club,jugador,tipo_operacion,club_destino
2025-26,Cultural Leonesa,Nico Toca,desconocido,CyD Leonesa Júpiter Leonés B
2025-26,Cultural Leonesa,Paco Cortés,retorno de cesión,Levante UD
2025-26,Cultural Leonesa,Santi Samanes,libre,CD Lugo
2025-26,Cultural Leonesa,Txus Alba,libre,CD Lugo
2025-26,Cultural Leonesa,Víctor Ruiz,libre,Algeciras CF
2025-26,Cultural Leonesa,Álvaro Martínez,libre,Moreirense FC
2025-26,Cádiz CF,Bojan Kovacevic,retorno de cesión,FK Partizan Belgrade
2025-26,Cádiz CF,Carlos Fernández,retorno de cesión,Real Sociedad
2025-26,Cádiz CF,Chris Ramos,cesión,Botafogo de Futebol e Regatas
2025-26,Cádiz CF,David García,cesión,UD Ibiza
2025-26,Cádiz CF,Efe Aghama,cesión,SD Huesca
2025-26,Cádiz CF,Fali,desconocido,Without Club
2025-26,Cádiz CF,Fede San Emeterio,libre,SD Ponferradina
2025-26,Cádiz CF,Francisco Mwepu,cesión,Atlético Sanluqueño CF
2025-26,Cádiz CF,Gonzalo Escalante,desconocido,Without Club
2025-26,Cádiz CF,Isaac Obeng,cesión,Algeciras CF
2025-26,Cádiz CF,Iván Alejo,libre,APOEL Nicosia
2025-26,Cádiz CF,Joseba Zaldua,desconocido,Without Club
2025-26,Cádiz CF,José Antonio Caro,libre,UD Las Palmas
2025-26,Cádiz CF,José Matos,libre,AD Ceuta FC
2025-26,Cádiz CF,Luis Hernández,desconocido,Retired
2025-26,Cádiz CF,Rubén Alcaraz,libre,Granada CF
2025-26,Cádiz CF,Rubén Sobrino,libre,Cultural Leonesa
2025-26,Cádiz CF,Usher Lobede,cesión,Atlético Sanluqueño CF
2025-26,Cádiz CF,Víctor Chust,cesión,Elche CF
2025-26,Cádiz CF,Youba Diarra,desconocido,TSV Hartberg
2025-26,Cádiz CF,Óscar Melendo,libre,Shanghai Port
2025-26,Córdoba CF,Alberto del Moral,retorno de cesión,Real Oviedo
2025-26,Córdoba CF,Ander Yoldi,retorno de cesión,CA Osasuna Promesas
2025-26,Córdoba CF,Antonio Casas,libre,Venezia FC
2025-26,Córdoba CF,Carlos Isaac,traspaso,Widzew Lodz
2025-26,Córdoba CF,Gabriele Corbo,libre,Delfino Pescara 1936
2025-26,Córdoba CF,Genaro Rodríguez,libre,UD Leiria
2025-26,Córdoba CF,Jan Salas,retorno de cesión,RCD Mallorca
2025-26,Córdoba CF,Jon Magunazelaia,retorno de cesión,Real Sociedad
2025-26,Córdoba CF,José Calderón,libre,Zalaegerszegi TE FC
2025-26,Córdoba CF,Jude Soonsup-Bell,libre,Grimsby Town
2025-26,Córdoba CF,Mariano Carmona,cesión,AD Alcorcón
2025-26,Córdoba CF,Marvel,retorno de cesión,Real Madrid Castilla
2025-26,Córdoba CF,Matías Barboza,cesión,Atlético Madrileño
2025-26,Córdoba CF,Ramón Vila,cesión,CD Eldense
2025-26,Córdoba CF,Rubén Alves,retorno de cesión,CD Tenerife
2025-26,Córdoba CF,Victor Sánchez,cesión,Marbella FC
2025-26,Córdoba CF,Álex Sala,traspaso,US Lecce
2025-26,Deportivo de La Coruña,Daniel Bachmann,retorno de cesión,Watford FC
2025-26,Deportivo de La Coruña,Davo,libre,FC Penafiel
2025-26,Deportivo de La Coruña,Denis Genreau,libre,Melbourne Victory
2025-26,Deportivo de La Coruña,Diego Gómez,cesión,FC Cartagena
2025-26,Deportivo de La Coruña,Helton Leite,traspaso,Fortaleza Esporte Clube
2025-26,Deportivo de La Coruña,Hugo Rama,desconocido,Without Club
2025-26,Deportivo de La Coruña,Iano Simão,desconocido,FC Penafiel
2025-26,Deportivo de La Coruña,Iván Barbero,traspaso,FC Arouca
2025-26,Deportivo de La Coruña,Jaime Sánchez,libre,FC Penafiel
2025-26,Deportivo de La Coruña,Jairo Noriega,cesión,Racing Ferrol
2025-26,Deportivo de La Coruña,Juan Carlos Gauto,retorno de cesión,FC Basel 1893
2025-26,Deportivo de La Coruña,Kevin Sánchez,cesión,FC Cartagena
2025-26,Deportivo de La Coruña,Luis Chacón,cesión,Cultural Leonesa
2025-26,Deportivo de La Coruña,Mohamed Bouldini,cesión,Granada CF
2025-26,Deportivo de La Coruña,Nemanja Tosic,retorno de cesión,FC Zürich
2025-26,Deportivo de La Coruña,Nuke Mfulu,desconocido,Without Club
2025-26,Deportivo de La Coruña,Pablo Martínez,desconocido,Without Club
2025-26,Deportivo de La Coruña,Pablo Muñoz,libre,CD Guadalajara
2025-26,Deportivo de La Coruña,Pablo Vázquez,traspaso,Sporting Gijón
2025-26,Deportivo de La Coruña,Rafa Obrador,retorno de cesión,Real Madrid Castilla
2025-26,Deportivo de La Coruña,Raúl Alcaina,desconocido,FC Penafiel
2025-26,Deportivo de La Coruña,Rubén López,cesión,Pontevedra CF
2025-26,Deportivo de La Coruña,Álex Petxarroman,cesión,FC Andorra
2025-26,FC Andorra,Aitor Uzkudun,cesión,Real Avilés Industrial
2025-26,FC Andorra,Alberto Solís,cesión,CD Arenteiro
2025-26,FC Andorra,Alejandro Ibarrondo,libre,CD Eldense
2025-26,FC Andorra,Antal Yaakobishvili,retorno de cesión,Girona FC
2025-26,FC Andorra,Berto Rosas,cesión,UD Logroñés
2025-26,FC Andorra,Bilal Achhiba,cesión,CE Atlètic Lleida
2025-26,FC Andorra,Christos Almpanis,cesión,Gimnàstic de Tarragona
2025-26,FC Andorra,César Morgado,libre,Gimnàstic de Tarragona
2025-26,FC Andorra,Erik Morán,desconocido,Without Club
2025-26,FC Andorra,Iván Rodríguez,cesión,Villarreal CF B
2025-26,FC Andorra,Jan Encuentra,cesión,Unionistas CF
2025-26,FC Andorra,Javier Vicario,cesión,Barakaldo CF
2025-26,FC Andorra,Jesús Clemente,libre,CD Eldense
2025-26,FC Andorra,Juanda Fuentes,cesión,Gimnàstic de Tarragona
2025-26,FC Andorra,Luismi Redondo,cesión,FC Cartagena
2025-26,FC Andorra,Manel Royo,libre,CD Teruel
2025-26,FC Andorra,Martín Merquelanz,libre,Kitchee
2025-26,FC Andorra,Oier Olazábal,desconocido,Without Club
2025-26,FC Andorra,Pablo Trigueros,libre,CD Lugo
2025-26,FC Andorra,Pau Casadesús,libre,Granada CF
2025-26,FC Andorra,Uri Busquets,libre,KAS Eupen
2025-26,FC Andorra,Álvaro Peña,libre,Racing Ferrol
2025-26,Granada CF,Abde Rebbach,retorno de cesión,Deportivo Alavés
2025-26,Granada CF,Borja Bastón,desconocido,Without Club
2025-26,Granada CF,Carlos Neva,libre,Albacete Balompié
2025-26,Granada CF,Diego Mariño,libre,Albacete Balompié
2025-26,Granada CF,Gerard Gumbau,cesión,Rayo Vallecano
2025-26,Granada CF,Giorgi Tsitaishvili,retorno de cesión,Dynamo Kyiv
2025-26,Granada CF,Gonzalo Villar,traspaso,GNK Dinamo Zagreb
2025-26,Granada CF,Kamil Jóźwiak,desconocido,Without Club
2025-26,Granada CF,Lucas Boyé,traspaso,Deportivo Alavés
2025-26,Granada CF,Marc Martínez,libre,CD Lugo
2025-26,Granada CF,Martin Hongla,cesión,Aris Thessaloniki
2025-26,Granada CF,Miguel Rubio,libre,RCD Espanyol Barcelona
2025-26,Granada CF,Miguel Ángel Brau,libre,Coventry City
2025-26,Granada CF,Pablo Insua,libre,Real Zaragoza
2025-26,Granada CF,Reinier,retorno de cesión,Real Madrid
2025-26,Granada CF,Ricard Sánchez,libre,GD Estoril Praia
2025-26,Granada CF,Rubén Sánchez,retorno de cesión,RCD Espanyol Barcelona
2025-26,Granada CF,Shon Weissman,desconocido,Without Club
2025-26,Granada CF,Siren Diao,retorno de cesión,Atalanta U23
2025-26,Granada CF,Souleymane Faye,traspaso,Sporting CP
2025-26,Granada CF,Stoichkov,cesión,Deportivo de La Coruña
2025-26,Granada CF,Theo Corbeanu,traspaso,Toronto FC
2025-26,Málaga CF,Antoñito Cordero,libre,Newcastle United
2025-26,Málaga CF,Dioni,libre,CD Eldense
2025-26,Málaga CF,Juan Hernández,libre,CF Lorca Deportiva
2025-26,Málaga CF,Kevin Medina,libre,Córdoba CF
2025-26,Málaga CF,Luca Sangalli,desconocido,Without Club
2025-26,Málaga CF,Manu Molina,libre,CD Eldense
2025-26,Málaga CF,Moussa Diarra,desconocido,Atlético Malagueño
2025-26,Málaga CF,Nélson Monte,traspaso,UD Almería
2025-26,Málaga CF,Roko Baturina,retorno de cesión,Gil Vicente FC
2025-26,Málaga CF,Yanis Rahmani,desconocido,Without Club
2025-26,Racing Santander,Clément Michelin,cesión,Real Valladolid CF
2025-26,Racing Santander,Ekain Zenitagoia,libre,Real Murcia CF
2025-26,Racing Santander,Javi Montero,libre,Málaga CF
2025-26,Racing Santander,Jeremy Arévalo,traspaso,VfB Stuttgart
2025-26,Racing Santander,Jon Karrikaburu,retorno de cesión,Real Sociedad
2025-26,Racing Santander,Lago Júnior,libre,CD Lugo
2025-26,Racing Santander,Miquel Parera,libre,Racing Ferrol
2025-26,Racing Santander,Neco Celorio,cesión,CD Lugo
2025-26,Racing Santander,Pablo Rodríguez,retorno de cesión,US Lecce
2025-26,Racing Santander,Plamen Andreev,retorno de cesión,Feyenoord Rotterdam
2025-26,Racing Santander,Pol Moreno,libre,FC Goa
2025-26,Racing Santander,Rober González,retorno de cesión,NEC Nijmegen
2025-26,Racing Santander,Saúl García,libre,Racing Ferrol
2025-26,Racing Santander,Unai Vencedor,retorno de cesión,Athletic Bilbao
2025-26,Racing Santander,Víctor Meseguer,retorno de cesión,Real Valladolid CF
2025-26,Racing Santander,Yeray Cabanzón,cesión,FC Andorra
2025-26,Real Sociedad B,Eder García,libre,Bilbao Athletic
2025-26,Real Sociedad B,Ibra Cámara,desconocido,Without Club
2025-26,Real Sociedad B,Iker Ropero,cesión,Barakaldo CF
2025-26,Real Sociedad B,Jakes Gorosabel,desconocido,Real Sociedad C
2025-26,Real Sociedad B,Jon Merino,libre,CD Lugo
2025-26,Real Sociedad B,Manex Gibelalde,libre,Bilbao Athletic
2025-26,Real Sociedad B,Mikel Goti,desconocido,Real Sociedad
2025-26,Real Sociedad B,Peru Rodríguez,libre,Cultural Leonesa
2025-26,Real Sociedad B,Sydney Osazuwa,cesión,AZ Alkmaar U21
2025-26,Real Valladolid CF,Adrián Arnu,cesión,Real Madrid C
2025-26,Real Valladolid CF,André Ferreira,libre,Moreirense FC
2025-26,Real Valladolid CF,Antonio Candela,retorno de cesión,Venezia FC
2025-26,Real Valladolid CF,Anuar,libre,AD Ceuta FC
2025-26,Real Valladolid CF,Cenk Özkacar,retorno de cesión,Valencia CF
2025-26,Real Valladolid CF,Darwin Machís,libre,Universidad Central de Venezuela
2025-26,Real Valladolid CF,Eray Cömert,retorno de cesión,Valencia CF
2025-26,Real Valladolid CF,Florian Grillitsch,retorno de cesión,TSG 1899 Hoffenheim
2025-26,Real Valladolid CF,Henrique Silva,libre,Turan-Tovuz IK
2025-26,Real Valladolid CF,Iván Sánchez,libre,Sepahan FC
2025-26,Real Valladolid CF,Javi Sánchez,libre,FC Arouca
2025-26,Real Valladolid CF,Jorge Delgado,cesión,GD Chaves
2025-26,Real Valladolid CF,Joseph Aidoo,retorno de cesión,Celta de Vigo
2025-26,Real Valladolid CF,Karl Hein,retorno de cesión,Arsenal FC
2025-26,Real Valladolid CF,Luis Pérez,libre,Gaziantep FK
2025-26,Real Valladolid CF,Mamadou Sylla,libre,Al-Riyadh SC
2025-26,Real Valladolid CF,Raúl Moro,traspaso,Ajax Amsterdam
2025-26,Real Valladolid CF,Selim Amallah,libre,Khor Fakkan SSC
2025-26,Real Valladolid CF,Tamás Nikitscher,traspaso,Rio Ave FC
2025-26,Real Valladolid CF,Trilli,cesión,Córdoba CF
2025-26,Real Valladolid CF,Xavi Moreno,cesión,CE Sabadell FC
2025-26,Real Zaragoza,Adrián Liso,cesión,Getafe CF
2025-26,Real Zaragoza,Adu Ares,retorno de cesión,Athletic Bilbao
2025-26,Real Zaragoza,Ager Aketxe,libre,Johor Darul Ta'zim
2025-26,Real Zaragoza,Alberto Marí,retorno de cesión,Valencia CF
2025-26,Real Zaragoza,Alberto Vaquero,libre,SD Tarazona
2025-26,Real Zaragoza,Andrés Borge,desconocido,Without Club
2025-26,Real Zaragoza,Bernardo Vital,traspaso,Jagiellonia Bialystok
2025-26,Real Zaragoza,Carlos Nieto,libre,SD Tarazona
2025-26,Real Zaragoza,Enrique Clemente,retorno de cesión,UD Las Palmas
2025-26,Real Zaragoza,Gaëtan Poussin,desconocido,Red Star FC
2025-26,Real Zaragoza,Gori Gracia,libre,Juventud Torremolinos CF
2025-26,Real Zaragoza,Iván Calero,libre,Cultural Leonesa
2025-26,Real Zaragoza,Jair Amador,libre,SD Eibar
2025-26,Real Zaragoza,Joan Femenías,libre,FC Penafiel
2025-26,Real Zaragoza,Kervin Arriaga,retorno de cesión,FK Partizan Belgrade
2025-26,Real Zaragoza,Lluís López,libre,Shandong Taishan
2025-26,Real Zaragoza,Marcos Luna,traspaso,UD Almería
2025-26,Real Zaragoza,Pau Sans,cesión,Cracovia
2025-26,Real Zaragoza,Samed Bazdar,cesión,Jagiellonia Bialystok
2025-26,Real Zaragoza,Sebastian Kosa,cesión,FC Kosice
2025-26,Real Zaragoza,Sergi Enrich,libre,SD Huesca
2025-26,Real Zaragoza,Yussif Saidu,retorno de cesión,Dansoman Wise XI FC
2025-26,SD Eibar,Antonio Puertas,libre,Albacete Balompié
2025-26,SD Eibar,Arnau Comas,retorno de cesión,FC Basel 1893
2025-26,SD Eibar,Chema Rodríguez,libre,Racing Ferrol
2025-26,SD Eibar,Cristian Gutiérrez,traspaso,UD Las Palmas
2025-26,SD Eibar,Eric Pérez,cesión,Barakaldo CF
2025-26,SD Eibar,Iker Alday,cesión,Bilbao Athletic
2025-26,SD Eibar,Iván Gil,retorno de cesión,UD Las Palmas
2025-26,SD Eibar,Jorge Pascual,retorno de cesión,Villarreal CF
2025-26,SD Eibar,Jorge Yriarte,desconocido,Slask Wroclaw
2025-26,SD Eibar,Leonardo Buta,retorno de cesión,Udinese Calcio
2025-26,SD Eibar,Martín Merquelanz,desconocido,Without Club
2025-26,SD Eibar,Oscar Carrasco,cesión,SD Tarazona
2025-26,SD Eibar,Slavy,libre,Hércules CF
2025-26,SD Eibar,Xeber Alkain,libre,Karpaty Lviv
2025-26,SD Eibar,Álex Domínguez,retorno de cesión,FC Toulouse
2025-26,SD Eibar,Álvaro Carrillo,libre,SD Huesca
2025-26,SD Eibar,Ángel Troncho,cesión,Arenas Club
2025-26,SD Huesca,Ayman Arguigue,cesión,Villarreal CF B
2025-26,SD Huesca,Diego González,libre,AD Ceuta FC
2025-26,SD Huesca,Gerard Valentín,traspaso,Al-Wakrah SC
2025-26,SD Huesca,Gustavo Albarracín,retorno de cesión,Deportivo Alavés
2025-26,SD Huesca,Hugo Pérez,retorno de cesión,RCD Espanyol Barcelona
2025-26,SD Huesca,Hugo Vallejo,libre,Piast Gliwice
2025-26,SD Huesca,Ignasi Vilarrasa,libre,Córdoba CF
2025-26,SD Huesca,Iker Kortajarena,traspaso,Al-Kholood Club
2025-26,SD Huesca,Iker Unzueta,libre,CD Lugo
2025-26,SD Huesca,Javi Hernández,retorno de cesión,RCD Espanyol Barcelona
2025-26,SD Huesca,Javi Pérez,libre,CD Tenerife
2025-26,SD Huesca,Joaquín Muñoz,libre,Málaga CF
2025-26,SD Huesca,Jérémy Blasco,libre,Radomiak Radom
2025-26,SD Huesca,Manu Rico,cesión,CA Osasuna Promesas
2025-26,SD Huesca,Miguel Loureiro,traspaso,Deportivo de La Coruña
2025-26,SD Huesca,Moi Delgado,libre,Gimnàstic de Tarragona
2025-26,SD Huesca,Patrick Soko,libre,UD Almería
2025-26,SD Huesca,Rubén Pulido,libre,CD Leganés
2025-26,SD Huesca,Samuel Ntamack,cesión,Amiens SC
2025-26,SD Huesca,Sergi Enrich,retorno de cesión,Real Zaragoza
2025-26,SD Huesca,Willy Chatiliez,cesión,FC Cartagena
2025-26,SD Huesca,Ángel Pérez,traspaso,Deportivo Alavés
2025-26,Sporting Gijón,Carlos Dotor,retorno de cesión,Celta de Vigo
2025-26,Sporting Gijón,Cote,desconocido,Retired
2025-26,Sporting Gijón,César Gelabert,retorno de cesión,FC Toulouse
2025-26,Sporting Gijón,Jonathan Dubasin,retorno de cesión,FC Basel 1893
2025-26,Sporting Gijón,Jordy Caicedo,retorno de cesión,Atlas Guadalajara
2025-26,Sporting Gijón,Lander Olaetxea,libre,SD Eibar
2025-26,Sporting Gijón,Nacho Méndez,libre,Johor Darul Ta'zim
2025-26,Sporting Gijón,Nico Serrano,retorno de cesión,Athletic Bilbao
2025-26,Sporting Gijón,Nikola Maras,retorno de cesión,Deportivo Alavés
2025-26,Sporting Gijón,Róber Pier,libre,Atlas Guadalajara
2025-26,Sporting Gijón,Uros Milovanović,libre,GD Chaves
2025-26,Sporting Gijón,Víctor Campuzano,libre,Sydney FC
2025-26,Sporting Gijón,Yann Kembo,cesión,UD Ibiza
2025-26,Sporting Gijón,Óscar Cortés,retorno de cesión,Rangers FC
2025-26,UD Almería,Aleksandar Radovanovic,libre,Real Zaragoza
2025-26,UD Almería,Aridane Hernández,desconocido,Without Club
2025-26,UD Almería,Arnau Solà,traspaso,FC Arouca
2025-26,UD Almería,Arvin Appiah,cesión,Amiens SC
2025-26,UD Almería,Bruno Langa,cesión,Pafos FC
2025-26,UD Almería,Edgar González,cesión,HNK Hajduk Split
2025-26,UD Almería,Gonzalo Melero,traspaso,CD Leganés
2025-26,UD Almería,Houboulang Mendes,libre,Fortuna Sittard
2025-26,UD Almería,Kaiky,traspaso,Shabab Al-Ahli Club
2025-26,UD Almería,Lucas Robertone,cesión,CA Vélez Sarsfield
2025-26,UD Almería,Luis Suárez,traspaso,Sporting CP
2025-26,UD Almería,Luís Maximiano,traspaso,NEOM SC
2025-26,UD Almería,Lázaro,traspaso,Al-Najma SC
2025-26,UD Almería,Marc Pubill,traspaso,Atlético de Madrid
2025-26,UD Almería,Marciano Sanca,desconocido,UD Almería B
2025-26,UD Almería,Marcos Peña,traspaso,FC Famalicão
2025-26,UD Almería,Marko Milovanović,cesión,FC Alverca
2025-26,UD Almería,Marko Perovic,cesión,Atlético Madrileño
2025-26,UD Almería,Rachad Fettal,traspaso,Real Madrid Castilla
2025-26,UD Almería,Rubén Quintanilla,cesión,CD Eldense
2025-26,UD Almería,Selvi Clua,cesión,CD Mirandés
2025-26,UD Almería,Álex Pozo,cesión,Jagiellonia Bialystok
2025-26,UD Las Palmas,Aboubacar Bassinga,cesión,AD Ceuta FC
2025-26,UD Las Palmas,Adam Arvelo,cesión,Unionistas CF
2025-26,UD Las Palmas,Adnan Januzaj,retorno de cesión,Sevilla FC
