#;Media;Total;Categoría;Nombre;Apodo;Año;Procedencia;Equipo;Liga;"Pierna
Dominante";Posición;Impacto Ofensivo;Impacto Defensivo;Ritmo;Ejecución Técnica;Comportamiento Táctico;Skill RBB;Altura;Complexión;Comentarios;Rendimiento;Proyección;Contexto;Ojeador;Media Javi G;Media Á. Oñate;Media J.L. Tijerín;Media J. Román;Peso Impacto Ofensivo;Peso Impacto Defensivo;Peso Ritmo;Peso Ejecución Técnica;Peso Comportamiento Táctico;Peso Skill;NOM PROPIO SIN TILDES;Peso Altura;Peso Complexión;Etapa;Año Ponderación;;CONTRATOS;
11;5,59;37;Senior;David Andrei P?curaru;Pacuraru;2006;Rumanía;Concordia Chiajna;2ª División Rumanía;Zurdo;Extremo;7;5;7;6;6;6;3;2;Jugador de banda con preferencia por actuar a pierna cambiada, ofreciendo verticalidad y buena activación tras recibir. Presenta capacidad para desempeñarse en ambos perfiles, con criterio tanto para asociarse como para facilitar pases en profundidad que aceleren el juego ofensivo. Destaca por su buen golpeo en acciones a balón parado, potente y preciso, aportando una herramienta diferencial en este tipo de situaciones. A nivel condicional es un jugador intenso, con capacidad para repetir esfuerzos y determinación en sus acciones, lo que le permite sostener un ritmo alto durante el partido. Técnicamente ofrece un rendimiento correcto, sin grandes alardes, pero suficiente para ejecutar con fiabilidad las acciones propias de su rol.;B;B;Betis Deportivo;Javi Galán;6,17;5,64;4,97;;0,22;0,08;0,27;0,10;0,08;0,18;David Andrei P?curaru;0,04;0,03;Rendimiento;2006;;30/06/2026;
12;6,04;40;Senior;Do-young Yoon;Yoon Do-young;2006;Corea del Sur;FC Dordrecht;2ª División Países Bajos;Zurdo;Extremo;6;5;7;8;7;7;2;2;Extremo zurdo a pierna cambiada, de talla media-baja, con un perfil explosivo, gran capacidad de aceleración y muy dinámico en sus acciones ofensivas. Destaca especialmente por su excelente golpeo en acciones a balón parado, así como por su visión de juego y capacidad para filtrar el último pase en zonas de creación avanzada. Es un jugador hábil en el uno contra uno, con recursos para resolver en espacios reducidos y capacidad para salir por ambos perfiles, lo que le aporta versatilidad ofensiva. Su carácter resolutivo le permite generar ventaja incluso ante defensas organizadas. En fase defensiva presenta dificultades en los duelos sin balón, condicionadas en parte por su envergadura, aunque muestra voluntad, sacrificio y predisposición para ayudar al equipo en tareas defensivas.;B;B;Betis Deportivo;Javi Galán;6,37;5,81;5,95;;0,22;0,08;0,27;0,10;0,08;0,18;Do-young Yoon;0,04;0,03;Rendimiento;2006;;30/06/2026;
13;6,55;39;Senior;Facinet Conte;Conte;2005;Guinea;BSC Young Boys;1ª División Suiza;Ambidiestro;Extremo;8;5;8;6;5;7;3;2;Jugador explosivo y rápido, de perfil polivalente, con capacidad para actuar en todas las posiciones del frente ofensivo. Rinde especialmente bien atacando el intervalo entre central y lateral, donde puede explotar su velocidad y agresividad en los desmarques. Se muestra más determinante atacando el espacio que en acciones de balón controlado, aunque también es capaz de desbordar desde parado gracias a su aceleración inicial. Utiliza ambas piernas en la finalización y en la conducción, y dispone de recursos para resolver en espacios reducidos. A nivel físico presenta un perfil muy atlético y fibroso, con buenas condiciones para sostener acciones de alta intensidad. Actualmente no se dispone de cortes recientes en Wyscout, por lo que la valoración se apoya en observaciones previas. En ese contexto, se trata de un jugador con capacidad para definir y mostrar precisión de cara a gol.;A;A;Betis Deportivo;Javi Galán;6,76;6,34;;;0,22;0,08;0,27;0,10;0,08;0,18;Facinet Conte;0,04;0,03;Rendimiento;2006;;30/06/2029;
14;6,13;39;Juvenil;Francisco Cortés García;Paco Cortés;2007;España;Levante UD;1ª División España;Diestro;Extremo;8;4;6;7;6;8;3;2;Extremo hábil y con determinación, con facilidad para ejecutar centro o disparo tanto en carrera como desde parado. Destaca por su capacidad para resolver acciones ofensivas con rapidez y eficacia cerca del área rival. Rinde mejor en contextos de pocos metros y alta densidad defensiva, donde puede explotar su talento resolutivo. No es un jugador orientado a repetir esfuerzos continuos ni a sostener un ritmo alto durante todo el partido, sino un perfil más enfocado a acciones puntuales de impacto. Se desempeña mejor actuando desde el perfil contrario a pierna cambiada, desde donde puede orientar sus acciones hacia portería con mayor naturalidad y peligro.;A;B;Betis Deportivo;Javi Galán;6,48;5,78;;;0,22;0,08;0,27;0,10;0,09;0,18;Francisco Cortes Garcia;0,04;0,03;Pre-élite;2007;;30/06/2028;
15;6,39;38;Senior;Gonzalo Germán Gelini;Gelini;2006;Argentina;CA Boca Juniors ;1ª División Argentina;Zurdo;Delantero;7;5;7;6;6;7;2;2;Jugador ofensivo zurdo, con capacidad para actuar tanto como delantero centro como extremo a pierna natural. Destaca por su alta intensidad competitiva, mostrando un perfil rápido, potente y vertical en sus acciones. Presenta una zancada corta con alta frecuencia, lo que le permite acelerar con rapidez y ganar ventaja en espacios reducidos. Dentro del área se muestra intuitivo, con buena lectura de las situaciones de finalización y capacidad para atacar zonas de remate con determinación. Es un jugador generoso en el esfuerzo defensivo, con predisposición para el trabajo sin balón y sin rehuir disputas, incluido el juego aéreo, donde compite con valentía pese a no ser un perfil dominante por envergadura.;B;B;Betis Deportivo;Javi Galán;6,12;5,60;7,44;;0,28;0,04;0,14;0,10;0,10;0,22;Gonzalo German Gelini;0,07;0,05;Rendimiento;2006;;31/12/2029;
16;5,80;37;Senior;Hugo Francisco Cuenca Martínez;Hugo Cuenca;2005;Paraguay;Burgos CF;2ª División España;Zurdo;Mediapunta;6;4;6;7;6;8;4;2;Pienso que es un perfil más de interior asociativo que extremo al uso. No me parece un jugador tan explosivo ni vertical, es más un jugador de talento con perfil más asociativo, con muy buen nivel técnico en el primer control, conducción precisa (aunque con más pausa) y último pase. Tiene capacidad para jugar entre líneas y caer en banda y viceversa.  A nivel condicional no repite esfuerzos, tiene margen de mejora a nivel de fuerza funcional. ;B;B;Betis Deportivo;Javi Galán;6,26;6,29;4,85;;0,12;0,08;0,12;0,24;0,10;0,24;Hugo Francisco Cuenca Martinez;0,05;0,05;Rendimiento;2006;;30/06/2026;
17;6,74;39;Senior;Ibrahim Kanaté;Kanaté;2006;Malí;RSC Anderlecht;1ª División Bélgica;Diestro;Extremo;7;5;8;5;6;8;2;2;Extremo muy explosivo y dinámico, muy destacado a nivel condicional, con zancada larga y gran aceleración, además es capaz de sostener el ritmo, hábil, y con capacidad para salir por ambos perfiles. Mejor atacando el área o espacio lateral que intentando precisar en centros, alterna bien la amplitud con la ruptura en diagonal, a nivel técnico su técnica es más funcional que sólida. ;B;B;Betis Deportivo;Javi Galán;6,66;6,35;7,21;;0,22;0,08;0,27;0,10;0,08;0,18;Ibrahim Kanate;0,04;0,03;Rendimiento;2006;;30/06/2028;
18;6,65;41;Senior;Ichem Ferrah;Ferrah;2005;Francia;SC Cambuur Leeuwarden;2ª División Países Bajos;Zurdo;Extremo;7;5;7;7;7;8;2;2;Extremo a pierna cambiada de talla media-baja, explosivo, muy dinámico, con capacidad para salir por ambos perfiles aunque con tendencia a salir por dentro. Tiene visión de juego y capacidad de último pase. Dentro del área tiene recursos y habilidad para sacar disparo y/o finalizar jugadas;A;B;Betis Deportivo;Javi Galán;6,67;6,17;7,11;;0,22;0,08;0,27;0,10;0,08;0,18;Ichem Ferrah;0,04;0,03;Rendimiento;2006;;30/06/2026;
19;6,21;39;Senior;Kaique Kenji Takamura Correa;Kaique Kenji;2006;Brasil;Cruzeiro Esporte Clube;1ª División Brasil;Diestro;Extremo;7;5;7;7;5;8;3;2;Extremo diestro a pierna cambiada, de complexión ligera y aún en proceso de desarrollo físico. Presenta un centro de gravedad aparentemente alto, lo que provoca que se desestabilice con relativa facilidad en situaciones de contacto y duelos individuales. A nivel técnico muestra un buen primer control y conducción, siendo un jugador hábil en espacios abiertos, con capacidad para salir por ambos perfiles. Destaca por su aceleración desde parado y una zancada amplia, que le permite ganar metros con facilidad cuando encuentra ventaja. En su toma de decisiones se muestra irregular, especialmente en la elección del último gesto, tanto en envíos laterales como en acciones de finalización, donde le cuesta conectar con acierto. Jugador con amplio margen de mejora, especialmente en aspectos físicos, estabilidad corporal y toma de decisiones en fase ofensiva.;B;B;Betis Deportivo;Javi Galán;6,55;5,93;6,16;;0,22;0,08;0,27;0,10;0,08;0,18;Kaique Kenji Takamura Correa;0,04;0,03;Rendimiento;2006;;31/12/2028;
20;6,13;35;Juvenil;Lorenzo Albarracín Castro;Lorenzo Albarracín;2007;Argentina;Instituto ACC II;División de Honor Juvenil Argentina;Zurdo;Extremo;6;4;7;6;5;7;1;2;Extremo izquierdo a pierna cambiada, de talla baja, perfil muy dinámico y desequilibrante en situaciones de 1vs1. Destaca por su capacidad para cambiar de ritmo y acelerar desde parado, mostrando una clara tendencia a perfilarse hacia dentro para generar ventaja. Su rendimiento es intermitente, con dificultades para sostener el nivel a lo largo del partido. En duelos de mayor exigencia física presenta inestabilidad, lo que limita su impacto en contextos de alta intensidad. Se muestra más eficaz en espacios reducidos, donde puede explotar su agilidad y velocidad corta, que en escenarios de campo abierto. Perfil con limitaciones evidentes para responder a las exigencias del fútbol profesional, especialmente en lo relativo a continuidad, impacto físico y rendimiento sostenido.;C;C;Betis Deportivo;Javi Galán;5,87;5,06;7,45;;0,22;0,08;0,27;0,10;0,09;0,18;Lorenzo Albarracin Castro;0,04;0,03;Pre-élite;2007;;31/12/2027;
21;6,03;39;Senior;Marko Perovi?;Perovic;2006;Montenegro;Atlético Madrileño ;1ª RFEF España;Zurdo;Extremo;7;6;7;6;6;7;3;2;Extremo zurdo de perfil abierto, jugador vertical, cuyo desborde se basa principalmente en la aceleración y el ataque al espacio, más que en la habilidad en situaciones de 1vs1. Se muestra práctico con balón, evitando acciones de riesgo innecesarias y priorizando soluciones sencillas. Su rendimiento es intermitente, con fases de menor participación en el juego, aunque destaca por su compromiso en el trabajo defensivo y la repetición de esfuerzos sin balón. Desde un punto de vista prospectivo, es un perfil al que le faltan recursos técnicos y variantes ofensivas para consolidarse en un contexto de élite de alta exigencia, especialmente cuando el juego demanda desequilibrio sostenido y creatividad en último tercio.;B;B;Betis Deportivo;Javi Galán;6,43;5,63;;;0,22;0,08;0,27;0,10;0,08;0,18;Marko Perovi?;0,04;0,03;Rendimiento;2006;;30/06/2026;
22;6,41;39;Juvenil;Mateusz Szczepaniak;Szczepaniak;2007;Polonia;Pogon Grodzisk Mazowiecki;2ª División Polonia;Diestro;Mediapunta;7;5;7;7;6;7;2;2;Perfil ofensivo polivalente, con mayor capacidad para desenvolverse por carriles interiores que en posiciones abiertas. Jugador de esfuerzos cortos pero intensos, muy dinámico y técnicamente hábil, con especial incidencia en espacios reducidos, donde marca diferencias. Aporta calidad en el último pase y muestra capacidad para finalizar jugadas, interpretando bien acciones en el último tercio. Tengo dudas en contextos de máxima exigencia, especialmente en lo relativo al impacto físico y al compromiso defensivo sostenido, factores determinantes para su rendimiento a nivel superior.;B;C;Betis Deportivo;Javi Galán;6,23;5,67;7,32;;0,12;0,08;0,12;0,24;0,10;0,23;Mateusz Szczepaniak;0,05;0,05;Pre-élite;2007;;30/06/2026;
23;5,88;40;Senior;Niklas Kemp Fuglestad;Niklas Fuglestad;2006;Noruega;Viking FK;1ª División Noruega;Zurdo;Extremo;7;6;7;7;6;7;3;1;Jugador de perfil ofensivo, con capacidad para actuar en banda a pierna cambiada y también como referencia ofensiva en fases determinadas del juego. Destaca por su capacidad de aceleración, tanto desde parado como en movimiento, lo que le permite ganar ventaja en los primeros metros. A nivel técnico es correcto, con habilidad en el regate y capacidad para desbordar por ambos perfiles, aportando soluciones tanto en conducción como en acciones de desequilibrio individual. Desde el punto de vista físico, se trata de un jugador aún sin formar a nivel muscular, con zancada amplia, lo que apunta a un amplio margen de mejora a nivel condicional. Su evolución en este apartado será determinante para alcanzar un rendimiento óptimo en contextos de mayor exigencia competitiva.;B;B;Betis Deportivo;Javi Galán;6,50;6,35;4,78;;0,22;0,08;0,27;0,10;0,08;0,18;Niklas Kemp Fuglestad;0,04;0,03;Rendimiento;2006;;31/12/2029;
24;6,87;38;Senior;Olivio Leonardo Veloso Neves Tomé;Olívio Tomé;2006;Portugal;SL Benfica B;2ª División Portugal;Zurdo;Extremo;7;5;8;6;5;7;4;2;Jugador con claro predominio condicional, destacando especialmente por una gran aceleración y una zancada muy amplia, factores que le permiten marcar diferencias en contextos de campo abierto. Presenta limitaciones para desacelerar y para ser determinante en espacios reducidos, lo que condiciona su rendimiento ante defensas organizadas. Resulta más influyente atacando espacios amplios, ya sea en carrera sin balón o con balón controlado. Cuando se enfrenta a situaciones de menor espacio y oposición cercana, tiende a buscar el centro lateral con intención, aunque con precisión aún mejorable. Desde el punto de vista físico, es un jugador aún sin definir completamente a nivel muscular, de talla media-alta, con un perfil atlético y fibroso, lo que sugiere un amplio margen de evolución condicional. Por su perfil físico y su capacidad de desarrollo, se le intuye proyección en contextos exigentes de fútbol profesional, especialmente en modelos de juego que favorezcan las transiciones, los ataques con ventaja y los escenarios donde pueda recibir en carrera y explotar su potencia.;A;B;Betis Deportivo;Javi Galán;6,58;6,44;7,58;;0,22;0,08;0,27;0,10;0,08;0,18;Olivio Leonardo Veloso Neves;0,04;0,03;Rendimiento;2006;;30/06/2027;
25;6,54;39;Juvenil;Ondrej Penxa;Penxa;2007;República Checa;AC Sparta Praga B;2ª División República Checa;Diestro;Extremo;7;7;7;6;6;6;3;3;Extremo de talla media y constitución fuerte, con tren inferior desarrollado y potente, capaz de sostener esfuerzos tanto en espacios amplios como en escenarios de menor espacio, mostrando buena resistencia y continuidad en el juego. A nivel técnico es correcto, con un perfil vertical, capaz de salir por ambos perfiles y de pisar área con intención en fase ofensiva. No se trata de un jugador especialmente desequilibrante en situaciones de 1vs1, basando su rendimiento más en la potencia, la continuidad y la lectura de los espacios que en la habilidad individual. Destaca por su generosidad en el esfuerzo defensivo, siendo un jugador aplicado sin balón, con buena predisposición al trabajo colectivo y a las ayudas defensivas.;B;B;Betis Deportivo;Javi Galán;6,35;5,66;7,61;;0,22;0,08;0,27;0,10;0,09;0,18;Ondrej Penxa;0,04;0,03;Pre-élite;2007;;-;
26;5,37;35;Senior;Ousmane Diop;Diop;2005;Senegal;Clermont Foot 63;2ª División Francia;Diestro;Extremo;6;5;8;5;5;6;3;1;Jugador diestro de banda, de talla media y constitución delgada, aún sin una formación muscular definida. Se trata de un perfil que rinde mejor recibiendo con espacio y jugando abierto a pierna natural, donde puede explotar su velocidad y profundidad. Muestra ciertos recursos en espacios reducidos, aunque presenta limitaciones técnicas, especialmente en conducción y primer control, lo que se traduce en imprecisiones en la toma de decisiones. Tiene dificultades para dar continuidad a las acciones ofensivas, ya sea en la conexión con compañeros o en la finalización de las jugadas que inicia. En contextos de transiciones puede resultar útil para estirar al equipo y atacar la espalda de la defensa, pero frente a defensas organizadas su impacto se ve claramente reducido. A nivel condicional, pese a ser un jugador explosivo, se muestra inestable ante cargas rivales, evidenciando carencias en fuerza y estabilidad corporal.;C;C;Betis Deportivo;Javi Galán;6,01;5,82;4,27;;0,22;0,08;0,27;0,10;0,08;0,18;Ousmane Diop;0,04;0,03;Rendimiento;2006;;30/06/2027;
27;6,19;41;Senior;Saif Eddien Lazar;Saif Lazar;2006;Bélgica;Koninklijke Racing Club Genk II;2ª División Bélgica;Diestro;Extremo;7;5;7;8;6;8;4;2;Extremo diestro de talla media-alta, con capacidad para actuar en ambos perfiles. Destaca por su aceleración desde parado, mostrando habilidad en el regate y precisión tanto en el control como en el pase con ambas piernas, lo que amplía notablemente sus recursos ofensivos. Presenta capacidad asociativa y para jugar por dentro, mante-niéndose activo y conectado en fase de creación, con buena interpretación de los espacios entre líneas. Es capaz de desbordar tanto en espacios reducidos, gracias a su habilidad técnica, como en espacios amplios, donde explota su nivel condicional, velocidad y zancada amplia. Genera ciertas dudas en la sostenibilidad de la intensidad cuando los esfuerzos se prolongan en el tiempo, aspecto clave para valorar su impacto competitivo a alto nivel. Ante defensas organizadas o bloques bajos, cuenta con recursos para generar ventaja y sacar jugada, mientras que en contextos de transición puede potenciar aún más sus cualidades ofensivas.;A;B;Betis Deportivo;Javi Galán;6,77;5,93;5,87;;0,22;0,08;0,27;0,10;0,08;0,18;Saif Eddien Lazar;0,04;0,03;Rendimiento;2006;;30/06/2030;
28;5,85;36;Senior;Samuel Cruz Cortés Cortés;Samu Cortés;2006;España;Granada CF;2ª División España;Zurdo;Extremo;6;5;7;6;5;7;2;2;Extremo zurdo a pierna cambiada, jugador habilidoso e incisivo en situaciones de 1vs1, con buenos recursos en espacios reducidos, donde es capaz de generar ventaja con frecuencia. Presenta zancada corta, pero destaca por unos primeros metros explosivos, lo que le permite superar rivales en acciones cortas. Se muestra irregular en la toma de decisiones, aspecto que condiciona su impacto global en el juego. Resulta más determinante en zonas cercanas al área, aunque no es un perfil goleador. Su principal virtud es el desborde, si bien necesita mayor continuidad tanto en su participación como en la eficacia de sus acciones. Por perfil, rinde mejor recibiendo cerca del área y en contextos donde pueda encarar con frecuencia, más que en escenarios que le exijan amplitud sostenida o recorrido largo. ;B;B;Betis Deportivo;Javi Galán;6,01;5,69;;;0,22;0,08;0,27;0,10;0,08;0,18;Samuel Cruz Cortes Cortes;0,04;0,03;Rendimiento;2006;;30/06/2029;
